"名称","住所","linkNo","遺跡番号","地図","遺跡名","いせきめい","所在地","種別","時代","立地","遺跡概況","備考","市町村C","経度","緯度","分類"
"","","3160","16","39図","津井火葬墳墓","ついかそうふんぼ","印南","墳墓","鎌倉","丘陵","備前焼壷","","20 印南町","135.210577568397","33.8143853094508","埋蔵文化財包蔵地_面"
"","","2721","61-1","39図","加尾１号墳","0","名田町野島","古墳","古墳","丘陵裾","円墳","0","14 御坊市","135.177667624849","33.8339238276728","埋蔵文化財包蔵地_面"
"","","2722","61-2","39図","加尾２号墳","0","名田町野島","古墳","古墳","丘陵裾","円墳、横穴式石室、須恵器（杯5）","0","14 御坊市","135.179589960565","33.8352760154442","埋蔵文化財包蔵地_面"
"","","2724","61-4","39図","加尾４号墳","0","名田町野島","古墳","古墳","丘陵裾","円墳、横穴式石室、鉄刀、須恵器（杯）","0","14 御坊市","135.180193657988","33.8350507137062","埋蔵文化財包蔵地_面"
"","","2723","61-3","39図","加尾３号墳","0","名田町野島","古墳","古墳","丘陵裾","円墳、横穴式石室、須恵器（杯）","0","14 御坊市","135.179677313755","33.8345867298208","埋蔵文化財包蔵地_面"
"","","2725","61-5","39図","加尾５号墳","0","名田町野島","古墳","古墳","丘陵裾","円墳、横穴式石室","0","14 御坊市","135.180193641287","33.8342619873491","埋蔵文化財包蔵地_面"
"","","2560","67","39図","仏井戸遺跡","ほとけいどいせき","名田町","井戸跡","鎌倉","平地","古井戸","0","14 御坊市","135.182923074579","33.8308124771759","埋蔵文化財包蔵地_面"
"","","2561","68","39図","下楠井古墳","しもくすいこふん","名田町","古墳","古墳","丘陵裾","古墳","0","14 御坊市","135.199268759948","33.813781757234","埋蔵文化財包蔵地_面"
"","","3164","19","39図","印南古墳","いなみこふん","印南","古墳","古墳","丘陵裾","円墳、須恵器､土師器","","20 印南町","135.221309055143","33.8183308314815","埋蔵文化財包蔵地_面"
"","","3210","22-1","39図","西ノ地1号墳","0","西ノ地","古墳","古墳","丘陵裾","円墳、須恵器","0","20 印南町","135.22902765114","33.8032435054094","埋蔵文化財包蔵地_面"
"","","3211","22-2","39図","西ノ地2号墳","0","西ノ地","古墳","古墳","丘陵裾","円墳、須恵器","0","20 印南町","135.231155371004","33.8026131003036","埋蔵文化財包蔵地_面"
"","","3215","22-6","39図","西ノ地6号墳","0","西ノ地","古墳","古墳","丘陵裾","円墳､須恵器","0","20 印南町","135.231029415913","33.8044026588667","埋蔵文化財包蔵地_面"
"","","3214","22-5","39図","西ノ地5号墳","0","西ノ地","古墳","古墳","丘陵裾","竪穴式石室、須恵器､土師器","0","20 印南町","135.231243634994","33.804110969722","埋蔵文化財包蔵地_面"
"","","3213","22-4","39図","西ノ地4号墳","0","西ノ地","古墳","古墳","丘陵裾","円墳、須恵器","0","20 印南町","135.231449897336","33.8037463511066","埋蔵文化財包蔵地_面"
"","","3212","22-3","39図","西ノ地3号墳","0","西ノ地","古墳","古墳","丘陵裾","横穴式石室、須恵器","0","20 印南町","135.231600577658","33.8034878301023","埋蔵文化財包蔵地_面"
"","","3216","22-7","39図","西ノ地7号墳","0","西ノ地","古墳","古墳","丘陵裾","須恵器","0","20 印南町","135.231752020188","33.804369249349","埋蔵文化財包蔵地_面"
"","","3218","22-9","39図","西ノ地9号墳","0","西ノ地","古墳","古墳","丘陵裾","須恵器","0","20 印南町","135.231958267989","33.8040576783716","埋蔵文化財包蔵地_面"
"","","3217","22-8","39図","西ノ地8号墳","0","西ノ地","古墳","古墳","丘陵裾","須恵器","0","20 印南町","135.232292031244","33.8044552240246","埋蔵文化財包蔵地_面"
"","","3219","22-10","39図","西ノ地10号墳","0","西ノ地","古墳","古墳","丘陵裾","須恵器","0","20 印南町","135.232466579117","33.8041966930748","埋蔵文化財包蔵地_面"
"","","3220","22-11","39図","西ノ地11号墳","0","西ノ地","古墳","古墳","丘陵裾","須恵器","0","20 印南町","135.232808157382","33.804441768535","埋蔵文化財包蔵地_面"
"","","9999","","","","","","","","","","","","135.240245637741","33.8111394599741","埋蔵文化財包蔵地_面"
"","","9999","","","","","","","","","","","","135.240547069702","33.810628998395","埋蔵文化財包蔵地_面"
"","","9999","","","","","","","","","","","","135.241031468752","33.810575775344","埋蔵文化財包蔵地_面"
"","","3175","30","39図","田ノ口窯跡","たのぐちかまあと","西ノ地","窯跡","奈良","丘陵裾","須恵器","0","20 印南町","135.243749327531","33.8088078484367","埋蔵文化財包蔵地_面"
"","","3239","46-18","39図","崎山18号墳（下広芝地区）","0","島田","古墳","古墳","丘陵裾","円墳、横穴式石室、銀環、須恵器（杯、■、瓶）、土錘）","0","20 印南町","135.234497903189","33.7898797712395","埋蔵文化財包蔵地_面"
"","","3238","46-17","39図","崎山17号墳（下広芝地区）","0","島田","古墳","古墳","丘陵裾","円墳","0","20 印南町","135.234791631246","33.7897404319164","埋蔵文化財包蔵地_面"
"","","3240","46-19","39図","崎山19号墳（下広芝地区）","0","島田","古墳","古墳","丘陵裾","円墳","0","20 印南町","135.23488700821","33.7901049385649","埋蔵文化財包蔵地_面"
"","","3241","46-20","39図","崎山20号墳（下広芝地区）","0","島田922","古墳","古墳","丘陵裾","円墳、竪穴式石室、須恵器（杯）、土師器、鉄鏃、鉄鎌、人骨","0","20 印南町","135.235315956407","33.7902903217183","埋蔵文化財包蔵地_面"
"","","3242","46-21","39図","崎山21号墳（下広芝地区）","0","島田922","古墳","古墳","丘陵裾","円墳､須恵器","0","20 印南町","135.235768422013","33.7903034217442","埋蔵文化財包蔵地_面"
"","","1766","7","6図","八幡塚古墳","はちまんづかこふん","下井阪","古墳","古墳","河岸段丘","円墳、横穴式石室、竪穴式石室、金属製品、鉄鏃、須恵器、土師器、人骨","","04 紀の川市打田地区","135.341414045617","34.2575171937001","埋蔵文化財包蔵地_面"
"","","9999","","","","","","","","","","","","135.342072200917","34.2581625024907","埋蔵文化財包蔵地_面"
"","","9999","","","","","","","","","","","","135.341952137608","34.2577980648468","埋蔵文化財包蔵地_面"
"","","9999","","","","","","","","","","","","135.342079639305","34.2574666370344","埋蔵文化財包蔵地_面"
"","","9999","","","","","","","","","","","","135.342494639688","34.2576388457419","埋蔵文化財包蔵地_面"
"","","9999","","","","","","","","","","","","135.342837928764","34.2578375582857","埋蔵文化財包蔵地_面"
"","","9999","","","","","","","","","","","","135.343069443704","34.2578507671757","埋蔵文化財包蔵地_面"
"","","1779","21","6図","不動寺谷遺跡","ふどうじだにいせき","中三谷","出土地","縄文","山腹","磨製石斧","","04 紀の川市打田地区","135.340755551522","34.2929199093911","埋蔵文化財包蔵地_面"
"","","1760","1","6図","経塚山経塚","きょうづかやまきょうづか","西山田","経塚","","丘陵","円形の盛土","","04 紀の川市打田地区","135.362923919324","34.2951676246521","埋蔵文化財包蔵地_面"
"","","1788","30","6図","倉谷山経塚","くらたにやまきょうづか","西山田","経塚","中世～近世","山腹","石祠","","04 紀の川市打田地区","135.340441300749","34.3087884192556","埋蔵文化財包蔵地_面"
"","","480","131","6図","山口3号墳","0","谷","古墳","古墳","山腹","前方後円墳","","01 和歌山市","135.263668999011","34.2772532413628","埋蔵文化財包蔵地_面"
"","","481","132","6図","山口4号墳","0","谷","古墳","古墳","山腹","円墳","","01 和歌山市","135.26407752481","34.2774537119724","埋蔵文化財包蔵地_面"
"","","482","133","6図","山口5号墳","0","谷","古墳","古墳","山腹","円墳","","01 和歌山市","135.264405871396","34.2776707697504","埋蔵文化財包蔵地_面"
"","","478","129","6図","山口1号墳","0","谷","古墳","古墳","山腹","円墳","","01 和歌山市","135.260402223737","34.2785649929607","埋蔵文化財包蔵地_面"
"","","487","138","6図","山口10号墳","0","谷","古墳","古墳","山腹","円墳","","01 和歌山市","135.269022081101","34.2819609158591","埋蔵文化財包蔵地_面"
"","","484","135","6図","山口7号墳","0","谷","古墳","古墳","山腹","円墳","","01 和歌山市","135.266226641871","34.2774704549239","埋蔵文化財包蔵地_面"
"","","485","136","6図","山口8号墳","0","谷","古墳","古墳","山頂","円墳","","01 和歌山市","135.266538151833","34.2777552619752","埋蔵文化財包蔵地_面"
"","","9999","","","","","","","","","","","","135.252053521835","34.2771798417265","埋蔵文化財包蔵地_面"
"","","109","147","6図","硲古墳","はざまこふん","藤田","古墳","古墳","河岸段丘","円墳","","01 和歌山市","135.263890427477","34.2696456295339","埋蔵文化財包蔵地_面"
"","","108","146","6図","藤田古墳","ふじたこふん","藤田","古墳","古墳","河岸段丘","円墳、竪穴式石室、直刀、土器、鉄器","","01 和歌山市","135.264622212629","34.2695964830813","埋蔵文化財包蔵地_面"
"","","488","139","6図","山口11号墳","0","谷","古墳","古墳","山腹","円墳","","01 和歌山市","135.271529243958","34.2797481071404","埋蔵文化財包蔵地_面"
"","","9999","","","","","","","","","","","","135.252963517284","34.277084166314","埋蔵文化財包蔵地_面"
"","","479","130","6図","山口2号墳","0","谷","古墳","古墳","山頂","円墳","","01 和歌山市","135.261710348852","34.2811898244292","埋蔵文化財包蔵地_面"
"","","429","106","5図","直川八幡山2号墳","0","直川","古墳","古墳","山腹","前方後円墳","","01 和歌山市","135.221587390805","34.2709363667301","埋蔵文化財包蔵地_面"
"","","435","111","5図","直川八幡山7号墳","0","直川","古墳","古墳","山腹","前方後円墳","","01 和歌山市","135.223485839333","34.2727303795718","埋蔵文化財包蔵地_面"
"","","9999","","","","","","","","","","","","135.234806222639","34.273502451832","埋蔵文化財包蔵地_面"
"","","49","50","5図","権現山1号墳","ごんげんやまいちごうふん","木ノ本","古墳","古墳","丘陵","円墳","","01 和歌山市","135.131054255293","34.2677998473108","埋蔵文化財包蔵地_面"
"","","375","44-3","5図","茶臼山古墳","ちゃうすやまこふん","木ノ本","古墳","古墳","平地","前方後円墳？、埴輪列、埴輪（円筒）","","01 和歌山市","135.133224081821","34.2633705735142","埋蔵文化財包蔵地_面"
